"","College2000","College1990","College1980","Jobs1990","Jobs1980","Jobs2000","College1970","College1960","LandArea","LFP1960","LFP1970","LFP1980","LFP1990","LFP2000","Mobil1960","Mobil1970","Mobil1980","Mobil1990","Mobil2000","Pop1960","Pop1970","Pop1980","Pop1990","Pop2000","NatAmenity","Jobs1960","Jobs1970","ContigJobsK1960","ContigJobsK1970","ContigJobsK1980","ContigJobsK1990","ContigJobsK2000","Mobil1950","College1950","Pop1950","LFP1950"
"54",0.098,0.066,0.07,6549,7120,6530,0.045845,0.039832,887,0.478,0.531988,0.521,0.546,0.524,0.387,0.356,0.307,0.306,0.327,21882,20326,21481,20699,20949,4,6558,6687,12.39701,12.923,16.5262,20.5348,23.8798,0.184853,0.023266,24349,0.503993
"55",0.184,0.143,0.113,14087,12790,15770,0.070541,0.059889,673,0.543,0.548132,0.546,0.583,0.606,0.512,0.465,0.433,0.433,0.43,25987,25038,28050,27595,29605,3,10636,10936,23.24456,26.06583,29.42767,35.13417,40.08833,0.243181,0.029363,30608,0.565608
"56",0.1,0.077,0.072,7937,7306,8327,0.037409,0.025641,581,0.54,0.537232,0.549,0.597,0.558,0.389,0.356,0.337,0.368,0.337,19477,18331,20075,19881,22380,4,6917,6493,10.09738,10.223,11.265,11.9225,12.393,0.197827,0.019214,22513,0.517197
"57",0.097,0.082,0.057,16273,14067,17506,0.030086,0.023492,627,0.561,0.580746,0.569,0.613,0.571,0.486,0.421,0.397,0.422,0.431,46351,45394,47356,46860,49756,3,11289,11651,10.60113,11.7585,13.78575,17.23125,20.95,0.203437,0.012112,40364,0.578043
"58",0.111,0.085,0.064,14623,9982,20225,0.03144,0.021996,640,0.473,0.506306,0.572,0.601,0.59,0.433,0.429,0.434,0.409,0.408,25388,27956,41205,50009,64742,4,5177,6123,64.86162,71.51833,87.0005,100.14883,117.20683,0.208612,0.017696,26687,0.453595
"59",0.368,0.29,0.176,38088,21681,61555,0.058208,0.040078,798,0.469,0.535971,0.619,0.696,0.403,0.523,0.45,0.532,0.544,0.511,32132,38037,66298,99358,143293,4,8950,12207,52.99544,57.80583,69.514,79.78017,92.53967,0.222166,0.033498,30362,0.452974
"60",0.124,0.054,0.099,6685,6457,5920,0.074148,0.045343,915,0.468,0.436401,0.495,0.504,0.476,0.36,0.405,0.323,0.368,0.329,20041,16974,16908,16174,14798,3,6642,5349,6.56241,5.9605,6.556,6.67175,6.71825,0.154899,0.026221,23610,0.489451
"61",0.112,0.102,0.078,29637,28017,33160,0.051172,0.048499,750,0.523,0.559571,0.565,0.582,0.552,0.497,0.435,0.38,0.398,0.396,65495,65280,73826,74107,80321,4,23438,24998,10.64482,12.4925,16.86867,21.30333,26.42733,0.244498,0.034286,63639,0.515943
"62",0.141,0.115,0.083,20724,19889,20559,0.044358,0.036564,704,0.577,0.587783,0.604,0.617,0.567,0.405,0.405,0.366,0.379,0.369,35007,33840,38676,38826,41475,4,17178,17101,9.31931,10.10729,12.07971,14.45943,17.12043,0.190367,0.022359,35074,0.56045
"63",0.24,0.2,0.166,76838,57937,95161,0.109759,0.080872,1333,0.486,0.490021,0.556,0.593,0.607,0.528,0.486,0.493,0.474,0.49,109047,116029,137541,150522,164875,4,41312,46034,45.35658,49.104,59.03671,67.18629,76.93429,0.253935,0.068836,94092,0.451839
"64",0.091,0.072,0.064,26136,22135,28437,0.040192,0.026451,805,0.43,0.471757,0.509,0.547,0.533,0.426,0.421,0.395,0.358,0.361,54211,56246,68660,67670,70713,4,14312,17009,58.71844,65.49933,79.48,92.7175,108.7865,0.198912,0.019022,63769,0.442796
"65",0.086,0.067,0.055,7176,6533,6750,0.036226,0.031924,1066,0.442,0.494655,0.534,0.547,0.545,0.335,0.362,0.345,0.269,0.255,15372,16241,16821,16694,18097,3,4668,5422,37.65594,38.8995,53.25675,60.524,77.32175,0.171926,0.016813,15612,0.468035
"66",0.101,0.103,0.095,5421,5343,4785,0.062616,0.063403,899,0.471,0.446651,0.429,0.451,0.42,0.329,0.323,0.278,0.273,0.309,18739,16303,14755,13568,13183,4,6958,5639,10.63288,10.3875,10.869,11.32433,12.19867,0.121771,0.025768,23476,0.577469
"67",0.083,0.054,0.052,11986,10606,13548,0.032521,0.03142,615,0.438,0.530547,0.565,0.59,0.582,0.441,0.456,0.391,0.365,0.371,14858,16654,21953,22053,24843,4,6236,8698,11.25841,14.60486,18.39971,22.238,26.26629,0.266815,0.018065,18250,0.455145
