Ben INC 5000 CSV Export (8-26-2014),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
id,rank,workers,name,url,state_l,state_s,city,metro,growth,revenue,industry,yrs_on_list,ifc_company,ifc_filelocation,ifc_founded,ifc_business_model,ifc_url,ifc_city,ifc_state,ifc_twitter_handle,state_rank,metro_rank,industry_rank,current_industry_rank,ifi_industry,app_employ_lastyear,app_employ_fouryearsago,app_revenues_lastyear,app_revenues_fouryearsago,city_display_name,industry_id,metro_id,,
25360,27,27,WeVeel,weveel,Pennsylvania,PA,Morrisville,Dallas,8239.8148,9007000,Consumer Products & Services,0,WeVeel,weveel,1/1/09,"Makes and sells the Scentos brand of scented markers, stationery, paint, bubbles, and other toys and novelty items for children. The brand is sold in more than 70,000 stores on five continents.",http://www.Scentos.com,Morrisville,PA,ScentosSupport,1,2,3,27,Consumer Products & Services,27,1,9007000,108000,Dallas,4,8,,
25764,28,10,PackIt,packit,California,CA,Westlake Village,Los Angeles,7877.9544,11874148,Consumer Products & Services,0,PackIt,packit,1/1/10,Manufactures bags with freezable gel in the linings that keep food and drinks cold for up to 10 hours.,http://www.PackIt.com,Westlake Village,CA,PackItCool,6,4,4,28,Consumer Products & Services,10,2,11874148,148837,Los Angeles,4,2,,
25317,29,8,American Retirement Advisors,american-retirement-advisors,Arizona,AZ,Scottsdale,Phoenix,7758.1594,13876488,Financial Services,0,American Retirement Advisors,american-retirement-advisors,1/1/10,"Offers advisory services in planning for health care, long-term care, legacy matters, and retirement income and savings for clients nearing retirement or already retired.",http://www.AmericanRetire.com,Scottsdale,AZ,AmericanRetire,4,4,4,29,Financial Services,8,3,13876488,176587,Phoenix,2,46,,
26342,30,200,HighPoint Global,highpoint-global,Indiana,IN,Indianapolis,"Indianapolis, IN",7638.5408,95810719,Business Products & Services,0,HighPoint Global,highpoint-global,1/1/06,"Offers program and project management, contact center support, content development, quality assurance, and IT consulting.",http://www.HighPointGlobal.com,Indianapolis,IN,,1,1,3,30,Business Products & Services,200,7,95810719,1238098,"Indianapolis, IN",17,81,,
24949,31,33,AdKarma,adkarma,Missouri,MO,Columbia,"Columbia, MO",7635.2397,13326503,Advertising & Marketing,0,AdKarma,adkarma,2010-00-00,A video supply-side platform that connects more than 300 publishers to advertisers to optimize their advertising revenue yield.,http://www.AdKarma.com,Columbia,MO,adkarma,1,0,2,31,Advertising & Marketing,33,6,13326503,172283,,5,62,,
25188,32,176,Axtria,axtria,New Jersey,NJ,Berkeley Heights,New York City,7351.2959,8963909,IT Services,0,Axtria,axtria,1/1/09,"Provides data analytics and software products designed to advance the sales and marketing decisions of its customers in life sciences, finance, retail, and technology industries, while also mitigating their business risk.",http://www.axtria.com,Berkeley Heights,NJ,AxtriaConnect,1,1,2,32,IT Services,176,9,8963909,120300,New York City,8,9,,
25240,33,24,Dolls Kill,dolls-kill,California,CA,San Francisco,San Francisco,7055.6604,7585000,Retail,0,Dolls Kill,dolls-kill,1/1/10,"Emphasizes change and experimentation in the online fashion retail space by offering radically progressive clothing and accessories from an array of edgy brands worn by expressive, dynamic models.",http://www.dollskill.com,San Francisco,CA,,7,2,1,33,Retail,24,3,7585000,106000,San Francisco,18,4,,
25357,34,18,Centric Digital,centric-digital,New York,NY,New York,New York City,6898.4173,18045419,Business Products & Services,0,Centric Digital,centric-digital,1/1/09,Specializes in transforming traditional businesses into digital leaders through management consultation and technology implementation.,http://www.CentricDigital.com,New York,NY,,1,2,4,34,Business Products & Services,18,1,18045419,257850,New York City,17,9,,
25522,35,55,Retail Capital,retail-capital,Michigan,MI,Troy,Detroit,6861.3577,7013359,Financial Services,0,Retail Capital,retail-capital,1/1/10,An alternative financing firm that provides working capital to small businesses that are unable to obtain traditional bank loans.,http://www.RetailCapital.com,Troy,MI,,1,1,5,35,Financial Services,55,2,7013359,100747,Detroit,2,50,,
22949,36,61,Restore Health,restore-health,Wisconsin,WI,Madison,"Madison, WI",6663.1769,6821205,Health,1,Restore Health,restore-health,2008-00-00,Provides personalized medicine and related medical services with a network of physicians and PCAB-accredited pharmacies.,http://www.restorehc.com,Madison,WI,,1,0,7,36,Health,61,1,6821205,100858,,10,78,,
